system_prompt,user_prompt,post_tone,post_length,post_type,completion
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: VirtualLab Science Simulations: Simulations for virtual science experiments.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,1-3 sentences,Comparison Posts,"""Discover the future of science education with VirtualLab Science Simulations! Unlike traditional textbooks, our simulations bring the lab to life, allowing students to conduct virtual experiments and explore complex concepts in a safe and engaging environment. Compare our simulations to traditional teaching methods and experience the difference for yourself! #EduFuture #VirtualLab #ScienceSimulations"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: SoundSync Wireless Transmitter: Wireless transmitter for audio devices.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,4-6 sentences,Value Proposition Posts,"""Take your audio experience to the next level with SoundSync Wireless Transmitter from PureSound Audio! As a trusted name in the industry since 2012, we've crafted a wireless transmitter that delivers superior sound quality and seamless connectivity for professionals and audiophiles alike. Say goodbye to tangled cords and hello to freedom with our reliable and durable wireless solution. Upgrade your audio setup today and experience the difference PureSound Audio brings to the table."""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: CoolDry T-Shirts: T-shirts with moisture-wicking technology.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,1-3 sentences,Feature Highlight Posts,"""Stay cool and comfortable all day, every day! Introducing our CoolDry T-Shirts, featuring advanced moisture-wicking technology that keeps you dry and focused on your fitness goals. Upgrade your workout wardrobe with FitLife Apparel's premium performance tees #FitLifeApparel #CoolDryTShirts #FitnessClothing #MoistureWicking"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: VisionGuard Lutein: Lutein supplement for eye health.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,1-3 sentences,Promotional Posts,"""Protect Your Vision with BioLife's VisionGuard Lutein! As a trusted provider of natural health products, BioLife Supplements is proud to introduce VisionGuard Lutein, a powerful lutein supplement designed to support eye health and reduce the risk of age-related macular degeneration. Try it today and see the difference for yourself! #BioLifeSupplements #VisionGuardLutein #EyeHealth"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: MemorySharp Ginkgo Biloba: Ginkgo Biloba supplement for cognitive health.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,1-3 sentences,Announcement Posts,"""Exciting News! BioLife Supplements is proud to introduce MemorySharp Ginkgo Biloba, a powerful supplement designed to support cognitive health and sharp memory. With its high-quality Ginkgo Biloba extract, this natural formula helps maintain focus, concentration, and mental clarity. Try it today and unlock your full potential! #BioLifeSupplements #MemorySharp #GinkgoBiloba #CognitiveHealth"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: VirtualLab Science Simulations: Simulations for virtual science experiments.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,1-3 sentences,Comparison Posts,"""Ready to revolutionize your science lessons? Our VirtualLab Science Simulations outshine traditional lab equipment! With our simulations, students can conduct virtual experiments, explore complex concepts, and develop a deeper understanding of science - all while saving time, money, and resources #EduFuture #ScienceSimulations #EdTech"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: SoundSync Wireless Transmitter: Wireless transmitter for audio devices.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,4-6 sentences,Value Proposition Posts,"""Get ready to experience pure sonic bliss with SoundSync Wireless Transmitter from PureSound Audio! As audiophiles and professionals, you know that superior sound quality is non-negotiable. That's why we've crafted SoundSync to deliver seamless, lag-free audio transmission for your devices. Say goodbye to tangled cords and hello to wireless freedom! Upgrade your audio game with SoundSync and discover a whole new world of sound #PureSoundAudio #SoundSync #WirelessAudio #AudiophileApproved"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: CoolDry T-Shirts: T-shirts with moisture-wicking technology.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,1-3 sentences,Feature Highlight Posts,"""Get ready to sweat in style with our CoolDry T-Shirts! Our moisture-wicking technology keeps you dry and comfortable, while our trendy designs keep you looking fresh. Trust us, your fitness journey just got a whole lot cooler! #FitLifeApparel #CoolDryTShirts #FitnessClothing #ActiveLifestyle"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: VisionGuard Lutein: Lutein supplement for eye health.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,1-3 sentences,Promotional Posts,"""Unlock Crystal-Clear Vision with VisionGuard Lutein! BioLife Supplements' latest innovation is here! Say goodbye to blurry vision and hello to a brighter, healthier you - try VisionGuard Lutein today and discover the power of natural eye health! #VisionGuard #Lutein #EyeHealth #BioLifeSupplements"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: MemorySharp Ginkgo Biloba: Ginkgo Biloba supplement for cognitive health.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,1-3 sentences,Announcement Posts,"""EXCITING NEWS! BioLife Supplements is thrilled to introduce MemorySharp Ginkgo Biloba, a revolutionary supplement that boosts your cognitive health and sharpens your mind! Say goodbye to mental fogginess and hello to a sharper, more focused you!"""
